area,center_lng,center_lat,time
DOUGLAS,-87.6163347894,41.8347038748,1832
OAKLAND,-87.6023885556,41.8240900087,2422
FULLER PARK,-87.6324675015,41.8090762537,1596
GRAND BOULEVARD,-87.6178849991,41.8129289169,2348
KENWOOD,-87.5933614086,41.8095969636,1564
LINCOLN SQUARE,-87.6904392161,41.9760184484,3367
WASHINGTON PARK,-87.6174427491,41.7911312433,2850
HYDE PARK,-87.5907857873,41.7942340378,2418
WOODLAWN,-87.591103864,41.7761334681,2102
ROGERS PARK,-87.6696044975,42.0104989522,3435
JEFFERSON PARK,-87.7703223329,41.9825042397,3364
FOREST GLEN,-87.7583068883,41.9917059089,4753
NORTH PARK,-87.7261488733,41.9846051995,3519
ALBANY PARK,-87.7213693543,41.968521496,3572
PORTAGE PARK,-87.7645780585,41.9535688785,3458
IRVING PARK,-87.7210876711,41.9535127833,2867
DUNNING,-87.806456747,41.9472647818,4344
MONTCLARE,-87.7980809604,41.9278743552,4209
BELMONT CRAGIN,-87.7660523178,41.9263941918,3332
WEST RIDGE,-87.692752708,42.0013058794,4055
HERMOSA,-87.7322612632,41.9262258671,3280
AVONDALE,-87.7115523634,41.9392149708,2379
LOGAN SQUARE,-87.6975403474,41.9248265528,2213
HUMBOLDT PARK,-87.7164903481,41.900872806,3019
WEST TOWN,-87.6731828793,41.9021777644,2046
AUSTIN,-87.7728098301,41.8944136969,2934
WEST GARFIELD PARK,-87.7303958682,41.8782963834,2937
EAST GARFIELD PARK,-87.7048274062,41.878719841,2265
NEAR WEST SIDE,-87.6633940945,41.8733728795,1804
NORTH LAWNDALE,-87.7139721106,41.8582848402,2769
UPTOWN,-87.652637557,41.9661075197,2933
SOUTH LAWNDALE,-87.7133612858,41.8378379546,2478
LOWER WEST SIDE,-87.6616155822,41.8474095044,2521
NEAR SOUTH SIDE,-87.6203833666,41.8565996829,1383
BRIDGEPORT,-87.6364609818,41.8406962182,1821
NORWOOD PARK,-87.8072228108,41.9856125953,3476
NEAR NORTH SIDE,-87.6288765812,41.8989537971,1389
SOUTH SHORE,-87.5681135653,41.7626448354,2265
CHATHAM,-87.6174163989,41.736958739,2644
AVALON PARK,-87.5817914573,41.7468320805,2692
SOUTH CHICAGO,-87.5550587928,41.7389921662,3071
BURNSIDE,-87.595610964,41.7294105994,3253
MCKINLEY PARK,-87.6717818648,41.8310103201,2240
LAKE VIEW,-87.6522001507,41.9469886855,2061
CALUMET HEIGHTS,-87.5705121861,41.72989349,2916
ROSELAND,-87.6230081049,41.7122781921,2807
NORTH CENTER,-87.6851079785,41.9468770735,2677
PULLMAN,-87.5980333532,41.7038819518,3425
SOUTH DEERING,-87.5720604263,41.6915254757,-1
EAST SIDE,-87.535020955,41.7078837283,3704
WEST PULLMAN,-87.6369389639,41.6713896802,3961
RIVERDALE,-87.5993467357,41.6653987328,-1
HEGEWISCH,-87.556809916,41.6681847188,-1
undefined,-87.7696246581,41.8034030164,-1
ARCHER HEIGHTS,-87.7261730216,41.8108057493,2740
BRIGHTON PARK,-87.6991215254,41.81936451,2244
BRIDGEPORT,-87.6494664458,41.836409452,2119
NEW CITY,-87.6599414275,41.8087268165,2132
WEST ELSDON,-87.7255904576,41.7959029727,2762
GAGE PARK,-87.6962913388,41.7954730247,2993
CLEARING,-87.7691960936,41.7784604941,4614
WEST LAWN,-87.7272430628,41.7695687374,3433
CHICAGO LAWN,-87.695548386,41.7718490499,3860
WEST ENGLEWOOD,-87.666801359,41.7759025044,2962
ENGLEWOOD,-87.6415606141,41.7753382456,2715
GREATER GRAND CROSSING,-87.6159993134,41.7669573171,2296
LINCOLN PARK,-87.6514869184,41.9218996159,1991
ASHBURN,-87.7071433238,41.7479965953,3952
AUBURN GRESHAM,-87.6561609095,41.7433892887,3322
BEVERLY,-87.6762394297,41.7172935896,3866
WASHINGTON HEIGHTS,-87.6506245727,41.7159863761,3213
MOUNT GREENWOOD,-87.717747815,41.6968692635,4763
MORGAN PARK,-87.6690344105,41.6878025708,3791
OHARE,-87.8874544692,41.9731379747,-1
EDGEWATER,-87.6611514222,41.9871697889,3140
EDISON PARK,-87.8139807709,42.0071782564,4172
